dataset,x,y
1,2.0,14.0
1,2.25,21.0
1,2.5,13.0
1,2.75,5.0
1,3.0,6.0
1,3.25,3.0
1,3.5,2.0
1,3.75,1.0
1,4.0,0.0
1,4.25,0.0
1,4.5,0.0
1,4.75,3.0
1,5.0,0.0
1,5.25,1.0
1,5.5,0.0
1,5.75,0.0
1,6.0,0.0
1,6.25,0.0
1,6.5,0.0
1,6.75,0.0
1,7.0,0.0
1,7.25,0.0
1,7.5,1.0
1,7.75,0.0
1,8.0,0.0
1,8.25,0.0
1,8.5,0.0
1,8.75,0.0
1,9.0,0.0
1,9.25,0.0
1,9.5,0.0
1,9.75,0.0
1,10.0,0.0
1,10.25,0.0
1,10.5,0.0
1,10.75,0.0
1,11.0,0.0
1,11.25,0.0
1,11.5,0.0
1,11.75,0.0
1,12.0,0.0
1,12.25,0.0
1,0.25,276.0
1,0.5,283.0
1,0.75,173.0
1,1.0,90.0
1,1.25,58.0
1,1.5,35.0
1,1.75,23.0
2,2.0,95.0
2,2.25,71.0
2,2.5,62.0
2,2.75,50.0
2,3.0,47.0
2,3.25,32.0
2,3.5,37.0
2,3.75,31.0
2,4.0,31.0
2,4.25,25.0
2,4.5,28.0
2,4.75,20.0
2,5.0,26.0
2,5.25,12.0
2,5.5,21.0
2,5.75,12.0
2,6.0,21.0
2,6.25,24.0
2,6.5,15.0
2,6.75,16.0
2,7.0,14.0
2,7.25,13.0
2,7.5,13.0
2,7.75,14.0
2,8.0,13.0
2,8.25,12.0
2,8.5,10.0
2,8.75,10.0
2,9.0,6.0
2,9.25,11.0
2,9.5,5.0
2,9.75,7.0
2,10.0,7.0
2,10.25,7.0
2,10.5,8.0
2,10.75,6.0
2,11.0,3.0
2,11.25,0.0
2,11.5,1.0
2,11.75,1.0
2,12.0,1.0
2,12.25,0.0
2,0.25,547.0
2,0.5,303.0
2,0.75,263.0
2,1.0,228.0
2,1.25,164.0
2,1.5,135.0
2,1.75,100.0
3,2.0,73.0
3,2.25,63.0
3,2.5,58.0
3,2.75,41.0
3,3.0,38.0
3,3.25,24.0
3,3.5,32.0
3,3.75,27.0
3,4.0,23.0
3,4.25,21.0
3,4.5,24.0
3,4.75,19.0
3,5.0,21.0
3,5.25,10.0
3,5.5,18.0
3,5.75,9.0
3,6.0,14.0
3,6.25,18.0
3,6.5,8.0
3,6.75,12.0
3,7.0,10.0
3,7.25,12.0
3,7.5,12.0
3,7.75,13.0
3,8.0,13.0
3,8.25,8.0
3,8.5,10.0
3,8.75,8.0
3,9.0,5.0
3,9.25,9.0
3,9.5,4.0
3,9.75,6.0
3,10.0,7.0
3,10.25,4.0
3,10.5,7.0
3,10.75,5.0
3,11.0,2.0
3,11.25,0.0
3,11.5,1.0
3,11.75,0.0
3,12.0,1.0
3,12.25,0.0
3,0.25,459.0
3,0.5,260.0
3,0.75,214.0
3,1.0,195.0
3,1.25,132.0
3,1.5,111.0
3,1.75,85.0
4,2.0,79.0
4,2.25,85.0
4,2.5,55.0
4,2.75,50.0
4,3.0,48.0
4,3.25,53.0
4,3.5,31.0
4,3.75,51.0
4,4.0,29.0
4,4.25,40.0
4,4.5,34.0
4,4.75,17.0
4,5.0,20.0
4,5.25,27.0
4,5.5,24.0
4,5.75,26.0
4,6.0,20.0
4,6.25,19.0
4,6.5,17.0
4,6.75,17.0
4,7.0,21.0
4,7.25,22.0
4,7.5,21.0
4,7.75,16.0
4,8.0,4.0
4,8.25,10.0
4,8.5,18.0
4,8.75,19.0
4,9.0,5.0
4,9.25,10.0
4,9.5,8.0
4,9.75,10.0
4,10.0,8.0
4,10.25,10.0
4,10.5,12.0
4,10.75,7.0
4,11.0,12.0
4,11.25,8.0
4,11.5,7.0
4,11.75,3.0
4,12.0,1.0
4,12.25,1.0
4,0.25,6.0
4,0.5,43.0
4,0.75,100.0
4,1.0,135.0
4,1.25,105.0
4,1.5,97.0
4,1.75,109.0
5,2.0,0.0
5,2.25,0.0
5,2.5,0.0
5,2.75,0.0
5,3.0,0.0
5,3.25,0.0
5,3.5,0.0
5,3.75,0.0
5,4.0,0.0
5,4.25,0.0
5,4.5,0.0
5,4.75,0.0
5,5.0,0.0
5,5.25,0.0
5,5.5,0.0
5,5.75,0.0
5,6.0,0.0
5,6.25,0.0
5,6.5,0.0
5,6.75,0.0
5,7.0,0.0
5,7.25,0.0
5,7.5,0.0
5,7.75,0.0
5,8.0,0.0
5,8.25,0.0
5,8.5,0.0
5,8.75,0.0
5,9.0,0.0
5,9.25,0.0
5,9.5,0.0
5,9.75,0.0
5,10.0,0.0
5,10.25,0.0
5,10.5,0.0
5,10.75,0.0
5,11.0,0.0
5,11.25,0.0
5,11.5,0.0
5,11.75,0.0
5,12.0,0.0
5,12.25,0.0
5,0.25,0.0
5,0.5,0.0
5,0.75,0.0
5,1.0,0.0
5,1.25,0.0
5,1.5,0.0
5,1.75,0.0
6,2.0,0.0
6,2.25,0.0
6,2.5,0.0
6,2.75,0.0
6,3.0,0.0
6,3.25,0.0
6,3.5,0.0
6,3.75,0.0
6,4.0,0.0
6,4.25,0.0
6,4.5,0.0
6,4.75,0.0
6,5.0,0.0
6,5.25,0.0
6,5.5,0.0
6,5.75,0.0
6,6.0,0.0
6,6.25,0.0
6,6.5,0.0
6,6.75,0.0
6,7.0,0.0
6,7.25,0.0
6,7.5,0.0
6,7.75,0.0
6,8.0,0.0
6,8.25,0.0
6,8.5,0.0
6,8.75,0.0
6,9.0,0.0
6,9.25,0.0
6,9.5,0.0
6,9.75,0.0
6,10.0,0.0
6,10.25,0.0
6,10.5,0.0
6,10.75,0.0
6,11.0,0.0
6,11.25,0.0
6,11.5,0.0
6,11.75,0.0
6,12.0,0.0
6,12.25,0.0
6,0.25,0.0
6,0.5,0.0
6,0.75,0.0
6,1.0,0.0
6,1.25,0.0
6,1.5,0.0
6,1.75,0.0
7,2.0,0.0
7,2.25,0.0
7,2.5,0.0
7,2.75,0.0
7,3.0,0.0
7,3.25,0.0
7,3.5,0.0
7,3.75,0.0
7,4.0,0.0
7,4.25,0.0
7,4.5,0.0
7,4.75,0.0
7,5.0,0.0
7,5.25,0.0
7,5.5,0.0
7,5.75,0.0
7,6.0,0.0
7,6.25,0.0
7,6.5,0.0
7,6.75,0.0
7,7.0,0.0
7,7.25,0.0
7,7.5,0.0
7,7.75,0.0
7,8.0,0.0
7,8.25,0.0
7,8.5,0.0
7,8.75,0.0
7,9.0,0.0
7,9.25,0.0
7,9.5,0.0
7,9.75,0.0
7,10.0,0.0
7,10.25,0.0
7,10.5,0.0
7,10.75,0.0
7,11.0,0.0
7,11.25,0.0
7,11.5,0.0
7,11.75,0.0
7,12.0,0.0
7,12.25,0.0
7,0.25,0.0
7,0.5,0.0
7,0.75,0.0
7,1.0,0.0
7,1.25,0.0
7,1.5,0.0
7,1.75,0.0
8,2.0,0.0
8,2.25,0.0
8,2.5,0.0
8,2.75,0.0
8,3.0,0.0
8,3.25,0.0
8,3.5,0.0
8,3.75,0.0
8,4.0,0.0
8,4.25,0.0
8,4.5,0.0
8,4.75,0.0
8,5.0,0.0
8,5.25,0.0
8,5.5,0.0
8,5.75,0.0
8,6.0,0.0
8,6.25,0.0
8,6.5,0.0
8,6.75,0.0
8,7.0,0.0
8,7.25,0.0
8,7.5,0.0
8,7.75,0.0
8,8.0,0.0
8,8.25,0.0
8,8.5,0.0
8,8.75,0.0
8,9.0,0.0
8,9.25,0.0
8,9.5,0.0
8,9.75,0.0
8,10.0,0.0
8,10.25,0.0
8,10.5,0.0
8,10.75,0.0
8,11.0,0.0
8,11.25,0.0
8,11.5,0.0
8,11.75,0.0
8,12.0,0.0
8,12.25,0.0
8,0.25,0.0
8,0.5,0.0
8,0.75,0.0
8,1.0,0.0
8,1.25,0.0
8,1.5,0.0
8,1.75,0.0
